NoG,Events,Val_g,Error
2,Train,0.75,0.04609379671514034
2,Validation,0.75,0.022033600100817587
3,Train,0.75,0.054589811563491825
3,Validation,0.75,0.018409855520496003
4,Train,0.75,0.0664075630158186
4,Validation,0.75,0.019735989501126684
5,Train,0.75,0.03319144863635302
5,Validation,0.75,0.016196723472183712
6,Train,0.75,0.02705573283135891
6,Validation,0.75,0.01609265970854232
7,Train,0.75,0.032943551167845725
7,Validation,0.75,0.01718147177822315
8,Train,0.75,0.04120473440736532
8,Validation,0.75,0.019321085867257073
9,Train,0.75,0.03977368090301752
9,Validation,0.75,0.022340115741826594
10,Train,0.75,0.0375460172444582
10,Validation,0.75,0.02038672657755132
11,Train,0.75,0.028065475337207317
11,Validation,0.75,0.019738295545371678
12,Train,0.75,0.039687562696635724
12,Validation,0.75,0.021360252124185745
